"filename","band","tag","stage","first_set"
"logos/band_dillon_warnek.png","Dillon Warnek","other","Plaza Tropical","2026-08-01 3:00 PM"
"logos/band_patrick_flynn.png","Patrick Flynn","other","Main Street","2026-08-01 3:00 PM"
"logos/band_temma.png","TEMMA","other","Lagerplatz","2026-08-01 3:00 PM"
"logos/band_coverfire.png","CoverFire!","other","Festplatz","2026-08-01 3:30 PM"
"logos/band_coquettish.png","Coquettish","other","Plaza Tropical","2026-08-01 4:00 PM"
"logos/band_wood_n_strings.png","Wood 'N' Strings","other","Liederplatz","2026-08-01 4:00 PM"
"logos/band_couldn_t_be_happiers.png","Couldn't Be Happiers","other","Lagerplatz","2026-08-01 4:00 PM"
"logos/band_julia_melito.png","Julia Melito","other","Lyrikplatz","2026-08-01 4:00 PM"
"logos/band_slamb.png","SLAMB","other","Community Stage","2026-08-01 4:30 PM"
"logos/band_cathy_ritter.png","Cathy Ritter","other","Zinzenplatz","2026-08-01 4:30 PM"
"logos/band_lydia_von_hof.png","Lydia von Hof","other","Plaza Tropical","2026-08-01 5:00 PM"
"logos/band_zach_marsden.png","Zach Marsden","other","Lyrikplatz","2026-08-01 5:00 PM"
"logos/band_new_normal.png","New Normal","other","Festplatz","2026-08-01 5:30 PM"
"logos/band_bryan_hansen_band.png","Bryan Hansen Band","other","Liederplatz","2026-08-01 5:30 PM"
"logos/band_rio_bossa.png","Rio Bossa","other","Jazz Cabaret","2026-08-01 5:30 PM"
"logos/band_kristen_morgenstern.png","Kristen Morgenstern","other","Lagerplatz","2026-08-01 6:00 PM"
"logos/band_audrey_kreitner.png","Audrey Kreitner","other","Lyrikplatz","2026-08-01 6:00 PM"
"logos/band_renee_christine.png","Renee Christine","other","Plaza Tropical","2026-08-01 6:00 PM"
"logos/band_wood_flower.png","Wood Flower","other","Stadtplatz","2026-08-01 6:00 PM"
"logos/band_dirty_dollhouse.png","Dirty Dollhouse","other","Americaplatz","2026-08-01 6:00 PM"
"logos/band_john_mulaney_mister_whatever.png","John Mulaney: Mister Whatever","other","Steel Stage","2026-08-01 6:00 PM"
"logos/band_redletter_radio.png","Redletter Radio","other","Main Street","2026-08-01 6:30 PM"
"logos/band_shaun_lally.png","Shaun Lally","other","Lyrikplatz","2026-08-01 7:00 PM"
"logos/band_ethan_neal.png","Ethan Neal","other","Lagerplatz","2026-08-01 7:00 PM"
"logos/band_adam_and_the_armadillos.png","Adam & the Armadillos","other","Liederplatz","2026-08-01 7:00 PM"
"logos/band_herencia_jibara.png","Herencia Jibara","other","Plaza Tropical","2026-08-01 7:30 PM"
"logos/band_alysha_brilla.png","Alysha Brilla","other","Stadtplatz","2026-08-01 7:30 PM"
"logos/band_the_aardvarks.png","The Aardvarks","other","Festplatz","2026-08-01 8:00 PM"
"logos/band_the_britles.png","The Britles","other","Community Stage","2026-08-01 8:00 PM"
"logos/band_walt_kosar.png","Walt Kosar","other","Lyrikplatz","2026-08-01 8:00 PM"
"logos/band_greggie_and_the_jets_a_tribute_to_elton_john.png","Greggie & The Jets - A Tribute to Elton John","other","Zinzenplatz","2026-08-01 8:30 PM"
"logos/band_code_201.png","Code 201","other","Main Street","2026-08-01 8:30 PM"
"logos/band_this_is_how_we_roll_a_dandd_improv_show.png","This is How We Roll: A D&D Improv Show","other","Frank Banko Cinemas","2026-08-01 9:00 PM"
"logos/band_luisito_rosario_and_orchestra.png","Luisito Rosario & Orchestra","other","Plaza Tropical","2026-08-01 9:00 PM"
"logos/band_dina_hall_band.png","Dina Hall Band","other","Liederplatz","2026-08-01 9:00 PM"
"logos/band_there_there_a_tribute_to_radiohead.png","There, There - a Tribute to Radiohead","other","Stadtplatz","2026-08-01 9:30 PM"
"logos/band_kid_charlemagne.png","Kid Charlemagne","other","Americaplatz","2026-08-01 9:45 PM"
"logos/band_movement_moves_media_presents_reggae_night_with_lnj_sessions.png","Movement Moves Media Presents: Reggae Night with LNJ Sessions","other","Community Stage","2026-08-01 11:00 PM"
"logos/band_alana_mars.png","Alana Mars","other","Zinzenplatz","2026-08-02 12:00 PM"
"logos/band_liquid_smoke_trio.png","Liquid Smoke Trio","other","Community Stage","2026-08-02 12:00 PM"
"logos/band_altruistic_vision.png","Altruistic Vision","other","Plaza Tropical","2026-08-02 12:00 PM"
"logos/band_matt_bednarsky.png","Matt Bednarsky","other","Main Street","2026-08-02 12:00 PM"
"logos/band_fritz_s_polka_band.png","Fritz's Polka Band","other","Festplatz","2026-08-02 12:00 PM"
"logos/band_jumpin_jamie.png","Jumpin' Jamie","other","Familienplatz","2026-08-02 12:30 PM"
"logos/band_jim_rezac_and_the_churchkey_saints.png","Jim Rezac & the ChurchKey Saints","other","Lagerplatz","2026-08-02 1:00 PM"
"logos/band_living_rarity.png","Living Rarity","other","Jazz Cabaret","2026-08-02 1:00 PM"
"logos/band_pam_brennan_quartet.png","Pam Brennan Quartet","other","Plaza Tropical","2026-08-02 1:00 PM"
"logos/band_ava_bloomfield.png","Ava Bloomfield","other","Hotel Bethlehem","2026-08-02 1:00 PM"
"logos/band_grace_morrison.png","Grace Morrison","other","Zinzenplatz","2026-08-02 1:30 PM"
"logos/band_lilly_moss.png","Lilly Moss","other","Main Street","2026-08-02 1:30 PM"
"logos/band_christina_giacoletti.png","Christina Giacoletti","other","Liederplatz","2026-08-02 2:00 PM"
"logos/band_groove_therapy_gt.png","Groove Therapy GT","other","Community Stage","2026-08-02 2:00 PM"
"logos/band_indigo_lane.png","Indigo Lane","other","Plaza Tropical","2026-08-02 2:00 PM"
"logos/band_poster_signing_with_artist_doug_boehm.png","Poster Signing with Artist Doug Boehm","other","Lagerplatz","2026-08-02 2:00 PM"
"logos/band_joe_lazorik_good_times_piano_music.png","Joe Lazorik ' Good TImes Piano Music""""","other","Lyrikplatz","2026-08-02 2:00 PM"
"logos/band_poets_for_justice_presents_rooted_and_rising_spoken_word_showcase.png","Poets for Justice Presents...""Rooted & Rising"" Spoken Word Showcase","other","ComedyPlatz","2026-08-02 3:00 PM"
"logos/band_fez.png","Fez","other","Plaza Tropical","2026-08-02 3:00 PM"
"logos/band_the_dracu_las.png","The Dracu-Las","other","Zinzenplatz","2026-08-02 3:00 PM"
"logos/band_special_characters.png","Special Characters","other","Main Street","2026-08-02 3:00 PM"
"logos/band_lehigh_valley_charter_high_school_for_the_arts_contemporary_music_ensemble.png","Lehigh Valley Charter High School for the Arts Contemporary Music Ensemble","other","Jazz Cabaret","2026-08-02 3:00 PM"
"logos/band_lorelei_and_francis.png","Lorelei and Francis","other","Lyrikplatz","2026-08-02 3:00 PM"
"logos/band_bunchafunk.png","Bunchafunk","other","Festplatz","2026-08-02 3:30 PM"
"logos/band_maddy_kas.png","Maddy Kas","other","Lyrikplatz","2026-08-02 4:00 PM"
"logos/band_talento_local.png","Talento Local","other","Plaza Tropical","2026-08-02 4:00 PM"
"logos/band_my_familiar.png","My Familiar","other","Community Stage","2026-08-02 4:30 PM"
"logos/band_sunrise_cries.png","Sunrise Cries","other","Zinzenplatz","2026-08-02 4:30 PM"
"logos/band_stefanie_johnson.png","Stefanie Johnson","other","Main Street","2026-08-02 4:30 PM"
